video_idx,question_idx,chunk_idx,task,frame_start,frame_end,layer,kv_head,visual_start,pre_len,post_len,cached_kv_len,num_internal_tokens,num_boundary_tokens,num_current_tokens,top_k_eff,internal_mass,boundary_mass,current_mass,memory_mass,visual_mass,internal_readout_share,memory_readout_share,current_readout_share,boundary_ratio,boundary_suppression,internal_topk_concentration,internal_peakiness,readout_shape_score,peak_readout_shape_score
0,1,1,Attribute Recognition,3,19,0,0,14,5450,26978,26924,5372,64,21474,32,0.02745509333908558,0.2037253975868225,0.12553319334983826,0.23118045926094055,0.3567136824131012,0.0769667514665545,0.6480840815984406,0.35191583485185607,0.8812396957650737,0.11876030423492634,0.24383533037222668,0.1417022943496704,0.0022287999577679826,0.00031582606766217166
0,1,1,Attribute Recognition,3,19,0,1,14,5450,26978,26924,5372,64,21474,32,0.02022526040673256,0.19871525466442108,0.15507273375988007,0.21894052624702454,0.3740132451057434,0.05407632128364938,0.5853817454634231,0.4146182943751693,0.9076220746784381,0.09237792532156186,0.20758358033718136,0.10815399885177612,0.0010369751337050664,0.00011215300742005815
0,1,1,Attribute Recognition,3,19,0,2,14,5450,26978,26924,5372,64,21474,32,0.08248075842857361,0.18118764460086823,0.3006787896156311,0.263668417930603,0.5643471479415894,0.14615252106663312,0.4672096224670313,0.5327904831481827,0.6871799285717611,0.31282007142823887,0.22013295839622976,0.1502092480659485,0.010064356041181305,0.0015117593532138298
0,1,1,Attribute Recognition,3,19,0,3,14,5450,26978,26924,5372,64,21474,32,0.03311425447463989,0.14045244455337524,0.19616323709487915,0.17356669902801514,0.3697299361228943,0.08956335757336,0.4694418332678747,0.5305581667294207,0.8092130883349681,0.19078691166503192,0.09388306414132443,0.049348413944244385,0.0016042283972369255,7.916612700795951e-05
0,1,1,Attribute Recognition,3,19,1,0,14,5450,26978,26924,5372,64,21474,32,0.04074901342391968,0.20080448687076569,0.16724511981010437,0.24155351519584656,0.40879860520362854,0.09967992284005549,0.5908863487313866,0.40911372416837877,0.8313043455696609,0.16869565443033907,0.42871564421061403,0.26138442754745483,0.007209097846893235,0.0018843459138437773
0,1,1,Attribute Recognition,3,19,1,1,14,5450,26978,26924,5372,64,21474,32,0.03736016899347305,0.29665273427963257,0.10019936412572861,0.3340129256248474,0.43421226739883423,0.08604125631271217,0.7692388048476747,0.2307612466265546,0.8881474683166461,0.11185253168335385,0.3235317227488323,0.18777722120285034,0.003113647412099751,0.0005846720588495374
0,1,1,Attribute Recognition,3,19,1,2,14,5450,26978,26924,5372,64,21474,32,0.027086038142442703,0.10931327939033508,0.1248544231057167,0.1363993138074875,0.2612537145614624,0.10367714077407608,0.5220952132141883,0.477904872337674,0.801421036060469,0.198578963939531,0.2426625184053179,0.1480669379234314,0.004995960000839136,0.0007397364993121946
0,1,1,Attribute Recognition,3,19,1,3,14,5450,26978,26924,5372,64,21474,32,0.03758557513356209,0.2652956545352936,0.13770067691802979,0.30288124084472656,0.44058191776275635,0.0853089371536936,0.6874572664762288,0.3125427335215015,0.8759065229477936,0.12409347705220641,0.264556583248828,0.1815394163131714,0.0028006707632299357,0.0005084321356421267
0,1,1,Attribute Recognition,3,19,2,0,14,5450,26978,26924,5372,64,21474,32,0.05096210539340973,0.2550630569458008,0.15060703456401825,0.3060252070426941,0.45663225650787354,0.11160426068678178,0.6701786890448184,0.3298212783202528,0.8334707438311872,0.16652925616881276,0.44702005900276903,0.2732805609703064,0.008308035213374608,0.002270424523672072
0,1,1,Attribute Recognition,3,19,2,1,14,5450,26978,26924,5372,64,21474,32,0.04693097993731499,0.1980402171611786,0.1788916289806366,0.24497118592262268,0.4238628149032593,0.11072209754449822,0.5779492262796301,0.42205077371801075,0.8084224943211228,0.1915775056788772,0.3619245973411085,0.22489464282989502,0.007677095073250521,0.0017265375544698227
0,1,1,Attribute Recognition,3,19,2,2,14,5450,26978,26924,5372,64,21474,32,0.05856817588210106,0.33545657992362976,0.19577273726463318,0.3940247595310211,0.5897974967956543,0.09930217778169671,0.6680678735855501,0.33193212641275444,0.8513591387557672,0.1486408612442328,0.3064101858675467,0.21531498432159424,0.004522725027619171,0.0009738104684127037
0,1,1,Attribute Recognition,3,19,2,3,14,5450,26978,26924,5372,64,21474,32,0.04865823686122894,0.2363637089729309,0.18462881445884705,0.28502193093299866,0.4696508049964905,0.10360513884669897,0.606880533153822,0.39311933993136366,0.8292825334471006,0.17071746655289943,0.24117814545291857,0.15064549446105957,0.004265767740481372,0.000642618690520853
0,1,1,Attribute Recognition,3,19,3,0,14,5450,26978,26924,5372,64,21474,32,0.03844819217920303,0.2620277404785156,0.09495265781879425,0.30047595500946045,0.3954285979270935,0.09723169335920065,0.7598741127572679,0.24012592492377313,0.8720422919344534,0.12795770806554663,0.4525327254651236,0.29379814863204956,0.005630206102027833,0.0016541441291926457
0,1,1,Attribute Recognition,3,19,3,1,14,5450,26978,26924,5372,64,21474,32,0.04328915476799011,0.19062405824661255,0.1935000717639923,0.23391321301460266,0.42741328477859497,0.10128172499437661,0.5472764215441388,0.45272357845352157,0.8149349743398094,0.18506502566019056,0.2419132987745511,0.16631805896759033,0.00453435151627224,0.0007541445428631491
0,1,1,Attribute Recognition,3,19,3,2,14,5450,26978,26924,5372,64,21474,32,0.05649644881486893,0.2805009186267853,0.15325331687927246,0.3369973599910736,0.49025067687034607,0.11523992006582175,0.687398051424843,0.3126019485731173,0.8323534600786868,0.16764653992131318,0.3405654554805485,0.23372340202331543,0.006579579471267777,0.0015378016979074717
0,1,1,Attribute Recognition,3,19,3,3,14,5450,26978,26924,5372,64,21474,32,0.041831325739622116,0.11587369441986084,0.1265084147453308,0.15770502388477325,0.28421342372894287,0.14718279379854304,0.5548823901949937,0.44511766223096494,0.7347495442110258,0.2652504557889742,0.28152385814961167,0.17169231176376343,0.010990776763122503,0.0018870318705399556
0,1,1,Attribute Recognition,3,19,4,0,14,5450,26978,26924,5372,64,21474,32,0.04312944784760475,0.15454000234603882,0.13165755569934845,0.19766944646835327,0.3293269872665405,0.1309623854560301,0.600222435787716,0.39977760945656043,0.7818102650982975,0.21818973490170246,0.24901088086607126,0.19172751903533936,0.007115398309941413,0.0013642176649133137
