task,acc
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Spatial Understanding,1.0
Action Recognition,1.0
Action Recognition,0.0
Clips Summarize,0.0
Causal Reasoning,0.0
Clips Summarize,1.0
Prospective Reasoning,0.0
Spatial Understanding,0.0
Causal Reasoning,0.0
Clips Summarize,1.0
Event Understanding,0.0
Object Recognition,1.0
Spatial Understanding,1.0
Text-Rich Understanding,1.0
Object Recognition,0.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Object Recognition,1.0
Event Understanding,0.0
Event Understanding,0.0
Attribute Recognition,0.0
Attribute Recognition,1.0
Text-Rich Understanding,1.0
Attribute Recognition,1.0
Text-Rich Understanding,1.0
Event Understanding,0.0
Spatial Understanding,0.0
Clips Summarize,1.0
Spatial Understanding,0.0
Clips Summarize,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Attribute Recognition,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Attribute Recognition,0.0
Text-Rich Understanding,1.0
Event Understanding,0.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Attribute Recognition,1.0
Action Recognition,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Causal Reasoning,1.0
Causal Reasoning,0.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Object Recognition,1.0
Text-Rich Understanding,1.0
Object Recognition,0.0
Action Recognition,0.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,0.0
Object Recognition,1.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Object Recognition,1.0
Action Recognition,0.0
Object Recognition,0.0
Object Recognition,1.0
Clips Summarize,1.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Attribute Recognition,0.0
Attribute Recognition,0.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Attribute Recognition,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,1.0
Action Recognition,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Event Understanding,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Attribute Recognition,0.0
Attribute Recognition,0.0
Attribute Recognition,0.0
Action Recognition,1.0
Object Recognition,1.0
Object Recognition,1.0
Object Recognition,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Object Recognition,1.0
Attribute Recognition,1.0
Object Recognition,1.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,0.0
Object Recognition,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Causal Reasoning,0.0
Clips Summarize,0.0
Action Recognition,0.0
Clips Summarize,1.0
Spatial Understanding,1.0
Text-Rich Understanding,1.0
Object Recognition,1.0
Object Recognition,1.0
Action Recognition,0.0
Event Understanding,1.0
Object Recognition,1.0
Attribute Recognition,0.0
Causal Reasoning,0.0
Attribute Recognition,0.0
Spatial Understanding,0.0
Object Recognition,1.0
Prospective Reasoning,1.0
Event Understanding,1.0
Object Recognition,1.0
Object Recognition,1.0
Spatial Understanding,1.0
Event Understanding,1.0
Spatial Understanding,0.0
Clips Summarize,0.0
Clips Summarize,1.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Object Recognition,1.0
Action Recognition,1.0
Event Understanding,1.0
Action Recognition,0.0
Attribute Recognition,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Object Recognition,0.0
Event Understanding,1.0
Event Understanding,0.0
Event Understanding,0.0
Spatial Understanding,0.0
Action Recognition,0.0
Object Recognition,0.0
Object Recognition,0.0
Action Recognition,0.0
Attribute Recognition,0.0
Action Recognition,0.0
Event Understanding,0.0
Action Recognition,1.0
Spatial Understanding,1.0
Clips Summarize,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,1.0
Event Understanding,0.0
Event Understanding,0.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Event Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Counting,0.0
Spatial Understanding,1.0
Attribute Recognition,1.0
Attribute Recognition,0.0
Spatial Understanding,0.0
Causal Reasoning,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Action Recognition,1.0
Attribute Recognition,1.0
Event Understanding,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Attribute Recognition,0.0
Spatial Understanding,0.0
Object Recognition,0.0
Spatial Understanding,0.0
Attribute Recognition,0.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Event Understanding,0.0
Action Recognition,0.0
Event Understanding,0.0
Spatial Understanding,0.0
Action Recognition,1.0
Action Recognition,1.0
Object Recognition,1.0
Attribute Recognition,0.0
Event Understanding,0.0
Object Recognition,1.0
Attribute Recognition,1.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Action Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Action Recognition,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,1.0
Text-Rich Understanding,1.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Counting,0.0
Counting,1.0
Counting,0.0
Counting,0.0
Counting,1.0
Causal Reasoning,1.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Object Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Object Recognition,0.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Event Understanding,0.0
Text-Rich Understanding,0.0
Spatial Understanding,1.0
Action Recognition,1.0
Event Understanding,0.0
Spatial Understanding,0.0
Object Recognition,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,1.0
Object Recognition,1.0
Attribute Recognition,1.0
Object Recognition,0.0
Object Recognition,1.0
Event Understanding,1.0
Causal Reasoning,1.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Event Understanding,0.0
Attribute Recognition,1.0
Object Recognition,1.0
Object Recognition,0.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Event Understanding,0.0
Counting,0.0
Event Understanding,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,0.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Attribute Recognition,1.0
Attribute Recognition,0.0
Object Recognition,1.0
Attribute Recognition,0.0
Object Recognition,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Attribute Recognition,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Attribute Recognition,0.0
Attribute Recognition,0.0
Object Recognition,0.0
Object Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Causal Reasoning,1.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Object Recognition,0.0
Object Recognition,1.0
Attribute Recognition,0.0
Object Recognition,0.0
Action Recognition,0.0
Text-Rich Understanding,0.0
Clips Summarize,0.0
Event Understanding,0.0
Attribute Recognition,0.0
Object Recognition,0.0
Attribute Recognition,0.0
Object Recognition,1.0
Attribute Recognition,0.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Action Recognition,0.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Object Recognition,0.0
Spatial Understanding,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Spatial Understanding,0.0
Object Recognition,1.0
Object Recognition,1.0
Object Recognition,0.0
Attribute Recognition,0.0
Spatial Understanding,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Object Recognition,0.0
Action Recognition,1.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Object Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Action Recognition,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Attribute Recognition,0.0
Text-Rich Understanding,1.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Event Understanding,0.0
Attribute Recognition,0.0
Object Recognition,1.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Clips Summarize,0.0
Spatial Understanding,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Spatial Understanding,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,0.0
Text-Rich Understanding,0.0
Clips Summarize,1.0
Object Recognition,1.0
Attribute Recognition,1.0
Prospective Reasoning,1.0
Attribute Recognition,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Object Recognition,1.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Object Recognition,1.0
Event Understanding,0.0
Spatial Understanding,0.0
Action Recognition,0.0
Causal Reasoning,1.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,1.0
Attribute Recognition,1.0
Event Understanding,1.0
Object Recognition,0.0
Text-Rich Understanding,1.0
Spatial Understanding,1.0
Attribute Recognition,0.0
Event Understanding,0.0
Action Recognition,0.0
Event Understanding,1.0
Action Recognition,0.0
Spatial Understanding,1.0
Text-Rich Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Event Understanding,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Object Recognition,0.0
Object Recognition,0.0
Object Recognition,0.0
Object Recognition,0.0
Object Recognition,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Object Recognition,0.0
Attribute Recognition,0.0
Object Recognition,0.0
Attribute Recognition,1.0
Object Recognition,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Counting,0.0
Counting,1.0
Counting,1.0
Counting,0.0
Counting,0.0
Attribute Recognition,1.0
Clips Summarize,1.0
Object Recognition,0.0
Spatial Understanding,1.0
Text-Rich Understanding,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,1.0
Attribute Recognition,0.0
Object Recognition,0.0
Action Recognition,0.0
Object Recognition,1.0
Attribute Recognition,0.0
Object Recognition,1.0
Attribute Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Object Recognition,1.0
Object Recognition,1.0
Text-Rich Understanding,0.0
Object Recognition,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,0.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Attribute Recognition,0.0
Object Recognition,0.0
Object Recognition,0.0
Object Recognition,0.0
Text-Rich Understanding,0.0
Object Recognition,1.0
Action Recognition,1.0
Object Recognition,1.0
Action Recognition,0.0
Event Understanding,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Spatial Understanding,0.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Counting,0.0
Counting,1.0
Counting,1.0
Counting,0.0
Counting,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Text-Rich Understanding,0.0
Object Recognition,0.0
Event Understanding,0.0
Action Recognition,0.0
Text-Rich Understanding,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Action Recognition,0.0
Object Recognition,0.0
Action Recognition,1.0
Text-Rich Understanding,0.0
Action Recognition,0.0
Attribute Recognition,0.0
Object Recognition,1.0
Attribute Recognition,1.0
Attribute Recognition,0.0
Object Recognition,0.0
Action Recognition,1.0
Spatial Understanding,1.0
Action Recognition,0.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Object Recognition,0.0
Spatial Understanding,1.0
Text-Rich Understanding,1.0
Text-Rich Understanding,1.0
Object Recognition,0.0
Attribute Recognition,0.0
Object Recognition,0.0
Action Recognition,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Event Understanding,1.0
Event Understanding,1.0
Event Understanding,0.0
Attribute Recognition,1.0
Spatial Understanding,0.0
Event Understanding,1.0
Event Understanding,0.0
Event Understanding,0.0
Object Recognition,1.0
Event Understanding,0.0
Attribute Recognition,1.0
Object Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Attribute Recognition,1.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,1.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Object Recognition,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Text-Rich Understanding,1.0
Text-Rich Understanding,0.0
Event Understanding,1.0
Object Recognition,0.0
Attribute Recognition,0.0
Action Recognition,0.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Object Recognition,0.0
Text-Rich Understanding,0.0
Attribute Recognition,0.0
Object Recognition,0.0
Text-Rich Understanding,1.0
Action Recognition,0.0
Attribute Recognition,0.0
Object Recognition,1.0
Text-Rich Understanding,1.0
Spatial Understanding,1.0
Clips Summarize,1.0
Causal Reasoning,0.0
Spatial Understanding,0.0
Clips Summarize,1.0
Causal Reasoning,1.0
Causal Reasoning,0.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Causal Reasoning,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Spatial Understanding,1.0
Spatial Understanding,0.0
Spatial Understanding,0.0
Text-Rich Understanding,0.0
Clips Summarize,0.0
Event Understanding,0.0
Text-Rich Understanding,0.0
Event Understanding,0.0
Text-Rich Understanding,0.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Object Recognition,1.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Causal Reasoning,0.0
Object Recognition,1.0
Action Recognition,1.0
Object Recognition,0.0
Action Recognition,0.0
Object Recognition,0.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Prospective Reasoning,1.0
Prospective Reasoning,0.0
Prospective Reasoning,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Action Recognition,1.0
Text-Rich Understanding,0.0
Object Recognition,0.0
Attribute Recognition,1.0
Text-Rich Understanding,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,0.0
Action Recognition,1.0
Action Recognition,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Counting,0.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,1.0
Clips Summarize,0.0
Clips Summarize,1.0
Clips Summarize,0.0
Object Recognition,0.0
Action Recognition,0.0
Attribute Recognition,1.0
Attribute Recognition,1.0
Event Understanding,1.0
Action Recognition,1.0
Event Understanding,1.0
Counting,0.0
Event Understanding,1.0
Object Recognition,1.0
Counting,0.0
